,收盘,delta_position_long_only,position_long_short,delta_position_long_short
2005-04-11,1248.52,1.0,0.0,1.0
2005-04-12,1240.97,0.0,1.0,0.0
2005-04-13,1219.51,0.0,1.0,0.0
2005-04-14,1248.2,0.0,1.0,0.0
2005-04-15,1234.33,0.0,1.0,0.0
2005-04-18,1216.96,0.0,1.0,0.0
2005-04-19,1197.73,0.0,1.0,0.0
2005-04-20,1199.9,0.0,1.0,0.0
2005-04-21,1184.19,0.0,1.0,0.0
2005-04-22,1172.56,0.0,1.0,0.0
2005-04-25,1169.19,0.0,1.0,0.0
2005-04-26,1157.97,0.0,1.0,0.0
2005-04-27,1165.33,0.0,1.0,0.0
2005-04-28,1148.76,0.0,1.0,0.0
2005-04-29,1169.12,0.0,1.0,0.0
2005-05-09,1159.15,0.0,1.0,0.0
2005-05-10,1130.83,0.0,1.0,0.0
2005-05-11,1135.56,0.0,1.0,0.0
2005-05-12,1124.27,0.0,1.0,0.0
2005-05-13,1103.99,0.0,1.0,0.0
2005-05-16,1107.63,0.0,1.0,0.0
2005-05-17,1095.47,0.0,1.0,0.0
2005-05-18,1099.64,0.0,1.0,0.0
2005-05-19,1102.96,0.0,1.0,0.0
2005-05-20,1103.47,0.0,1.0,0.0
2005-05-23,1099.27,0.0,1.0,0.0
2005-05-24,1070.84,0.0,1.0,0.0
2005-05-25,1073.85,0.0,1.0,0.0
2005-05-26,1072.14,0.0,1.0,0.0
2005-05-27,1058.87,0.0,1.0,0.0
2005-05-30,1051.95,0.0,1.0,0.0
2005-05-31,1060.16,0.0,1.0,0.0
2005-06-01,1060.74,0.0,1.0,0.0
2005-06-02,1039.19,0.0,1.0,0.0
2005-06-03,1016.06,0.0,1.0,0.0
2005-06-06,1013.64,0.0,1.0,0.0
2005-06-07,1034.38,0.0,1.0,0.0
2005-06-08,1030.94,0.0,1.0,0.0
2005-06-09,1115.58,0.0,1.0,0.0
2005-06-10,1131.05,0.0,1.0,0.0
2005-06-13,1108.29,-1.0,1.0,-1.0
2005-06-14,1106.29,0.0,0.0,-1.0
2005-06-15,1093.46,0.0,-1.0,0.0
2005-06-16,1072.84,0.0,-1.0,0.0
2005-06-17,1086.01,0.0,-1.0,0.0
2005-06-20,1085.61,0.0,-1.0,0.0
2005-06-21,1115.62,0.0,-1.0,0.0
2005-06-22,1101.49,0.0,-1.0,0.0
2005-06-23,1102.03,0.0,-1.0,0.0
2005-06-24,1093.7,0.0,-1.0,0.0
2005-06-27,1101.88,0.0,-1.0,0.0
2005-06-28,1124.64,0.0,-1.0,0.0
2005-06-29,1108.59,0.0,-1.0,0.0
2005-06-30,1104.99,0.0,-1.0,0.0
2005-07-01,1080.94,0.0,-1.0,0.0
2005-07-04,1055.59,0.0,-1.0,0.0
2005-07-05,1047.28,0.0,-1.0,0.0
2005-07-06,1039.04,1.0,-1.0,1.0
2005-07-07,1033.55,-1.0,0.0,-1.0
2005-07-08,1038.6,0.0,-1.0,0.0
2005-07-11,1017.98,0.0,-1.0,0.0
2005-07-12,1011.5,0.0,-1.0,0.0
2005-07-13,1046.16,0.0,-1.0,0.0
2005-07-14,1037.39,0.0,-1.0,0.0
2005-07-15,1040.42,0.0,-1.0,0.0
2005-07-18,1026.11,0.0,-1.0,0.0
2005-07-19,1012.1,0.0,-1.0,0.0
2005-07-20,1014.35,1.0,-1.0,1.0
2005-07-21,1021.05,0.0,0.0,1.0
2005-07-22,1020.63,0.0,1.0,0.0
2005-07-25,1046.32,-1.0,1.0,-1.0
2005-07-26,1045.4,0.0,0.0,-1.0
2005-07-27,1072.81,0.0,-1.0,0.0
2005-07-28,1089.91,0.0,-1.0,0.0
2005-07-29,1086.55,0.0,-1.0,0.0
2005-08-01,1083.03,0.0,-1.0,0.0
2005-08-02,1088.95,0.0,-1.0,0.0
2005-08-03,1104.04,0.0,-1.0,0.0
2005-08-04,1107.7,1.0,-1.0,1.0
2005-08-05,1102.59,0.0,0.0,1.0
2005-08-08,1128.74,-1.0,1.0,-1.0
2005-08-09,1138.88,0.0,0.0,-1.0
2005-08-10,1152.53,0.0,-1.0,0.0
2005-08-11,1165.03,0.0,-1.0,0.0
2005-08-12,1183.58,0.0,-1.0,0.0
2005-08-15,1167.92,0.0,-1.0,0.0
2005-08-16,1187.01,0.0,-1.0,0.0
2005-08-17,1177.28,1.0,-1.0,1.0
