,收盘,delta_position_long_only,position_long_short,delta_position_long_short
2005-10-25,906.65,1.0,0.0,1.0
2005-10-26,894.27,-1.0,1.0,-1.0
2005-10-27,875.82,0.0,0.0,-1.0
2005-10-28,875.85,0.0,-1.0,0.0
2005-10-31,867.73,0.0,-1.0,0.0
2005-11-01,876.28,0.0,-1.0,0.0
2005-11-02,872.86,0.0,-1.0,0.0
2005-11-03,882.48,0.0,-1.0,0.0
2005-11-04,874.58,0.0,-1.0,0.0
2005-11-07,878.36,0.0,-1.0,0.0
2005-11-08,877.28,0.0,-1.0,0.0
2005-11-09,881.52,0.0,-1.0,0.0
2005-11-10,879.25,0.0,-1.0,0.0
2005-11-11,862.97,0.0,-1.0,0.0
2005-11-14,864.79,0.0,-1.0,0.0
2005-11-15,862.15,0.0,-1.0,0.0
2005-11-16,856.64,0.0,-1.0,0.0
2005-11-17,863.12,0.0,-1.0,0.0
2005-11-18,862.66,0.0,-1.0,0.0
2005-11-21,882.24,0.0,-1.0,0.0
2005-11-22,883.87,0.0,-1.0,0.0
2005-11-23,869.62,0.0,-1.0,0.0
2005-11-24,876.23,0.0,-1.0,0.0
2005-11-25,881.49,0.0,-1.0,0.0
2005-11-28,884.1,0.0,-1.0,0.0
2005-11-29,880.17,0.0,-1.0,0.0
2005-11-30,871.31,0.0,-1.0,0.0
2005-12-01,873.83,0.0,-1.0,0.0
2005-12-02,873.07,0.0,-1.0,0.0
2005-12-05,869.94,0.0,-1.0,0.0
2005-12-06,859.61,0.0,-1.0,0.0
2005-12-07,866.08,0.0,-1.0,0.0
2005-12-08,873.84,0.0,-1.0,0.0
2005-12-09,874.06,0.0,-1.0,0.0
2005-12-12,887.36,1.0,-1.0,1.0
2005-12-13,888.52,0.0,0.0,1.0
2005-12-14,889.1,0.0,1.0,0.0
2005-12-15,898.15,0.0,1.0,0.0
2005-12-16,896.43,0.0,1.0,0.0
2005-12-19,902.56,0.0,1.0,0.0
2005-12-20,902.91,0.0,1.0,0.0
2005-12-21,907.32,0.0,1.0,0.0
2005-12-22,903.14,0.0,1.0,0.0
2005-12-23,908.75,0.0,1.0,0.0
2005-12-26,915.89,0.0,1.0,0.0
2005-12-27,922.38,0.0,1.0,0.0
2005-12-28,919.36,0.0,1.0,0.0
2005-12-29,920.92,0.0,1.0,0.0
2005-12-30,932.03,0.0,1.0,0.0
2006-01-04,923.45,0.0,1.0,0.0
2006-01-05,941.43,0.0,1.0,0.0
2006-01-06,959.13,0.0,1.0,0.0
2006-01-09,970.03,0.0,1.0,0.0
2006-01-10,975.25,0.0,1.0,0.0
