,收盘,delta_position_long_only,position_long_short,delta_position_long_short
2007-04-18,3558.22,0.0,0.0,-1.0
2007-04-19,3649.71,0.0,-1.0,0.0
2007-04-20,3435.78,0.0,-1.0,0.0
2007-04-23,3614.39,0.0,-1.0,0.0
2007-04-24,3782.26,0.0,-1.0,0.0
2007-04-25,3821.42,0.0,-1.0,0.0
2007-04-26,3805.05,0.0,-1.0,0.0
2007-04-27,3853.27,0.0,-1.0,0.0
2007-04-30,3845.81,0.0,-1.0,0.0
2007-05-08,3903.69,0.0,-1.0,0.0
2007-05-09,4091.13,0.0,-1.0,0.0
2007-05-10,4099.13,0.0,-1.0,0.0
2007-05-11,4128.08,0.0,-1.0,0.0
2007-05-14,4109.4,0.0,-1.0,0.0
2007-05-15,4133.83,0.0,-1.0,0.0
2007-05-16,3998.78,0.0,-1.0,0.0
2007-05-17,4118.14,0.0,-1.0,0.0
2007-05-18,4221.91,0.0,-1.0,0.0
2007-05-21,4235.19,0.0,-1.0,0.0
2007-05-22,4364.16,0.0,-1.0,0.0
2007-05-23,4459.81,0.0,-1.0,0.0
2007-05-24,4582.31,0.0,-1.0,0.0
2007-05-25,4571.71,0.0,-1.0,0.0
2007-05-28,4649.86,1.0,-1.0,1.0
2007-05-29,4761.7,0.0,0.0,1.0
2007-05-30,4853.64,0.0,1.0,0.0
2007-05-31,4456.28,0.0,1.0,0.0
2007-06-01,4267.78,-1.0,1.0,-1.0
2007-06-04,3960.44,0.0,0.0,-1.0
2007-06-05,3618.69,0.0,-1.0,0.0
2007-06-06,3659.94,0.0,-1.0,0.0
2007-06-07,3736.93,0.0,-1.0,0.0
2007-06-08,3936.77,0.0,-1.0,0.0
2007-06-11,4002.87,0.0,-1.0,0.0
2007-06-12,4104.55,0.0,-1.0,0.0
2007-06-13,4218.44,0.0,-1.0,0.0
2007-06-14,4372.53,0.0,-1.0,0.0
2007-06-15,4311.98,0.0,-1.0,0.0
2007-06-18,4316.53,0.0,-1.0,0.0
2007-06-19,4439.19,0.0,-1.0,0.0
2007-06-20,4529.03,0.0,-1.0,0.0
2007-06-21,4396.22,0.0,-1.0,0.0
2007-06-22,4374.49,0.0,-1.0,0.0
2007-06-25,4123.21,0.0,-1.0,0.0
2007-06-26,3851.94,0.0,-1.0,0.0
2007-06-27,3928.7,0.0,-1.0,0.0
2007-06-28,4022.31,0.0,-1.0,0.0
2007-06-29,3757.98,0.0,-1.0,0.0
2007-07-02,3585.49,0.0,-1.0,0.0
2007-07-03,3644.79,0.0,-1.0,0.0
2007-07-04,3704.71,0.0,-1.0,0.0
2007-07-05,3622.52,0.0,-1.0,0.0
2007-07-06,3380.18,0.0,-1.0,0.0
2007-07-09,3591.38,0.0,-1.0,0.0
2007-07-10,3711.71,0.0,-1.0,0.0
2007-07-11,3606.19,0.0,-1.0,0.0
2007-07-12,3653.31,0.0,-1.0,0.0
2007-07-13,3671.18,0.0,-1.0,0.0
2007-07-16,3655.84,0.0,-1.0,0.0
2007-07-17,3532.06,0.0,-1.0,0.0
2007-07-18,3610.38,0.0,-1.0,0.0
2007-07-19,3624.34,0.0,-1.0,0.0
2007-07-20,3640.28,0.0,-1.0,0.0
2007-07-23,3788.74,0.0,-1.0,0.0
2007-07-24,3984.79,0.0,-1.0,0.0
2007-07-25,3993.02,0.0,-1.0,0.0
2007-07-26,4106.83,0.0,-1.0,0.0
2007-07-27,4190.88,0.0,-1.0,0.0
2007-07-30,4269.77,0.0,-1.0,0.0
2007-07-31,4353.09,0.0,-1.0,0.0
2007-08-01,4403.58,0.0,-1.0,0.0
2007-08-02,4161.13,0.0,-1.0,0.0
2007-08-03,4336.81,0.0,-1.0,0.0
2007-08-06,4408.05,0.0,-1.0,0.0
2007-08-07,4504.34,0.0,-1.0,0.0
2007-08-08,4470.14,0.0,-1.0,0.0
2007-08-09,4395.43,0.0,-1.0,0.0
2007-08-10,4442.06,0.0,-1.0,0.0
2007-08-13,4348.81,1.0,-1.0,1.0
2007-08-14,4329.77,-1.0,0.0,-1.0
