,收盘,delta_position_long_only,position_long_short,delta_position_long_short
2006-08-14,1954.97,0.0,0.0,-1.0
2006-08-15,1902.57,0.0,-1.0,0.0
2006-08-16,1929.38,0.0,-1.0,0.0
2006-08-17,1960.88,0.0,-1.0,0.0
2006-08-18,1936.02,0.0,-1.0,0.0
2006-08-21,1912.58,0.0,-1.0,0.0
2006-08-22,1933.07,0.0,-1.0,0.0
2006-08-23,1962.44,0.0,-1.0,0.0
2006-08-24,1968.44,0.0,-1.0,0.0
2006-08-25,2001.0,0.0,-1.0,0.0
2006-08-28,2012.06,0.0,-1.0,0.0
2006-08-29,2043.6,1.0,-1.0,1.0
2006-08-30,2096.53,0.0,0.0,1.0
2006-08-31,2092.83,0.0,1.0,0.0
2006-09-01,2098.45,0.0,1.0,0.0
2006-09-04,2091.64,0.0,1.0,0.0
2006-09-05,2149.48,0.0,1.0,0.0
2006-09-06,2114.94,0.0,1.0,0.0
2006-09-07,2107.92,0.0,1.0,0.0
2006-09-08,2097.08,0.0,1.0,0.0
2006-09-11,2114.58,0.0,1.0,0.0
2006-09-12,2115.67,0.0,1.0,0.0
2006-09-13,2117.52,0.0,1.0,0.0
2006-09-14,2097.35,0.0,1.0,0.0
2006-09-15,2076.39,0.0,1.0,0.0
2006-09-18,2092.2,0.0,1.0,0.0
2006-09-19,2114.75,0.0,1.0,0.0
2006-09-20,2130.63,-1.0,1.0,-1.0
2006-09-21,2139.23,0.0,0.0,-1.0
2006-09-22,2166.86,0.0,-1.0,0.0
2006-09-25,2180.92,0.0,-1.0,0.0
2006-09-26,2193.25,0.0,-1.0,0.0
2006-09-27,2155.33,0.0,-1.0,0.0
2006-09-28,2156.46,1.0,-1.0,1.0
2006-09-29,2182.54,0.0,0.0,1.0
2006-10-09,2202.39,0.0,1.0,0.0
2006-10-10,2240.17,0.0,1.0,0.0
2006-10-11,2239.86,0.0,1.0,0.0
2006-10-12,2261.73,0.0,1.0,0.0
2006-10-13,2215.94,0.0,1.0,0.0
2006-10-16,2209.76,0.0,1.0,0.0
2006-10-17,2187.21,0.0,1.0,0.0
2006-10-18,2178.35,0.0,1.0,0.0
2006-10-19,2197.14,-1.0,1.0,-1.0
2006-10-20,2216.0,0.0,0.0,-1.0
2006-10-23,2193.96,0.0,-1.0,0.0
2006-10-24,2130.1,0.0,-1.0,0.0
2006-10-25,2171.97,0.0,-1.0,0.0
2006-10-26,2181.87,0.0,-1.0,0.0
2006-10-27,2164.94,0.0,-1.0,0.0
2006-10-30,2144.48,0.0,-1.0,0.0
2006-10-31,2120.63,0.0,-1.0,0.0
2006-11-01,2133.16,0.0,-1.0,0.0
2006-11-02,2126.88,0.0,-1.0,0.0
2006-11-03,2098.69,0.0,-1.0,0.0
2006-11-06,2106.97,0.0,-1.0,0.0
2006-11-07,2083.43,0.0,-1.0,0.0
2006-11-08,2093.98,0.0,-1.0,0.0
2006-11-09,2106.27,0.0,-1.0,0.0
2006-11-10,2129.86,0.0,-1.0,0.0
2006-11-13,2079.75,0.0,-1.0,0.0
2006-11-14,2019.81,0.0,-1.0,0.0
2006-11-15,2040.61,0.0,-1.0,0.0
2006-11-16,2094.5,0.0,-1.0,0.0
2006-11-17,2100.15,1.0,-1.0,1.0
2006-11-20,2109.33,0.0,0.0,1.0
2006-11-21,2086.65,0.0,1.0,0.0
2006-11-22,2106.35,0.0,1.0,0.0
2006-11-23,2152.62,0.0,1.0,0.0
2006-11-24,2157.03,0.0,1.0,0.0
2006-11-27,2167.86,0.0,1.0,0.0
2006-11-28,2199.97,0.0,1.0,0.0
2006-11-29,2229.41,-1.0,1.0,-1.0
2006-11-30,2254.5,0.0,0.0,-1.0
2006-12-01,2281.28,0.0,-1.0,0.0
2006-12-04,2290.01,0.0,-1.0,0.0
2006-12-05,2328.8,0.0,-1.0,0.0
2006-12-06,2308.82,0.0,-1.0,0.0
2006-12-07,2289.4,0.0,-1.0,0.0
2006-12-08,2261.03,0.0,-1.0,0.0
2006-12-11,2217.19,0.0,-1.0,0.0
2006-12-12,2257.51,0.0,-1.0,0.0
2006-12-13,2279.53,0.0,-1.0,0.0
2006-12-14,2330.72,0.0,-1.0,0.0
2006-12-15,2364.98,1.0,-1.0,1.0
2006-12-18,2386.34,0.0,0.0,1.0
2006-12-19,2431.99,0.0,1.0,0.0
2006-12-20,2443.87,0.0,1.0,0.0
2006-12-21,2513.3,0.0,1.0,0.0
2006-12-22,2471.8,0.0,1.0,0.0
2006-12-25,2446.79,0.0,1.0,0.0
2006-12-26,2476.78,0.0,1.0,0.0
2006-12-27,2449.74,0.0,1.0,0.0
2006-12-28,2450.96,0.0,1.0,0.0
2006-12-29,2416.36,0.0,1.0,0.0
