,收盘,delta_position_long_only,position_long_short,delta_position_long_short
2010-12-17,1232.98,1.0,0.0,1.0
2010-12-20,1212.34,0.0,1.0,0.0
2010-12-21,1215.02,0.0,1.0,0.0
2010-12-22,1201.65,0.0,1.0,0.0
2010-12-23,1176.36,0.0,1.0,0.0
2010-12-24,1144.5,0.0,1.0,0.0
2010-12-27,1105.3,0.0,1.0,0.0
2010-12-28,1091.48,0.0,1.0,0.0
2010-12-29,1113.31,0.0,1.0,0.0
2010-12-30,1117.21,-1.0,1.0,-1.0
2010-12-31,1137.66,0.0,0.0,-1.0
2011-01-04,1155.11,0.0,-1.0,0.0
2011-01-05,1155.35,1.0,-1.0,1.0
2011-01-06,1134.79,0.0,0.0,1.0
2011-01-07,1126.52,0.0,1.0,0.0
2011-01-10,1093.77,0.0,1.0,0.0
2011-01-11,1078.36,0.0,1.0,0.0
2011-01-12,1089.67,0.0,1.0,0.0
2011-01-13,1093.86,0.0,1.0,0.0
2011-01-14,1067.42,0.0,1.0,0.0
2011-01-17,1028.16,0.0,1.0,0.0
2011-01-18,1025.72,0.0,1.0,0.0
2011-01-19,1048.54,0.0,1.0,0.0
2011-01-20,1020.39,0.0,1.0,0.0
2011-01-21,1024.51,0.0,1.0,0.0
2011-01-24,994.97,-1.0,1.0,-1.0
2011-01-25,979.0,0.0,0.0,-1.0
2011-01-26,995.74,0.0,-1.0,0.0
2011-01-27,1013.02,0.0,-1.0,0.0
2011-01-28,1020.94,0.0,-1.0,0.0
2011-01-31,1029.12,0.0,-1.0,0.0
2011-02-01,1032.6,0.0,-1.0,0.0
2011-02-09,1025.15,0.0,-1.0,0.0
2011-02-10,1063.95,0.0,-1.0,0.0
2011-02-11,1071.58,0.0,-1.0,0.0
2011-02-14,1086.56,0.0,-1.0,0.0
2011-02-15,1087.72,0.0,-1.0,0.0
2011-02-16,1107.24,0.0,-1.0,0.0
2011-02-17,1115.33,0.0,-1.0,0.0
2011-02-18,1100.46,0.0,-1.0,0.0
2011-02-21,1117.67,0.0,-1.0,0.0
2011-02-22,1088.27,0.0,-1.0,0.0
2011-02-23,1114.05,0.0,-1.0,0.0
2011-02-24,1101.95,0.0,-1.0,0.0
2011-02-25,1095.1,0.0,-1.0,0.0
2011-02-28,1099.78,0.0,-1.0,0.0
2011-03-01,1098.0,0.0,-1.0,0.0
2011-03-02,1088.9,0.0,-1.0,0.0
2011-03-03,1064.31,0.0,-1.0,0.0
2011-03-04,1071.86,0.0,-1.0,0.0
2011-03-07,1078.11,0.0,-1.0,0.0
2011-03-08,1084.82,0.0,-1.0,0.0
2011-03-09,1087.3,0.0,-1.0,0.0
2011-03-10,1093.9,0.0,-1.0,0.0
2011-03-11,1101.76,0.0,-1.0,0.0
2011-03-14,1107.54,0.0,-1.0,0.0
2011-03-15,1094.95,0.0,-1.0,0.0
2011-03-16,1102.21,0.0,-1.0,0.0
2011-03-17,1078.37,0.0,-1.0,0.0
2011-03-18,1083.6,0.0,-1.0,0.0
2011-03-21,1070.6,0.0,-1.0,0.0
2011-03-22,1067.29,0.0,-1.0,0.0
2011-03-23,1076.56,0.0,-1.0,0.0
2011-03-24,1077.99,0.0,-1.0,0.0
2011-03-25,1072.34,0.0,-1.0,0.0
2011-03-28,1052.11,0.0,-1.0,0.0
2011-03-29,1019.04,0.0,-1.0,0.0
2011-03-30,1006.37,0.0,-1.0,0.0
2011-03-31,1008.3,0.0,-1.0,0.0
2011-04-01,1015.08,0.0,-1.0,0.0
2011-04-06,994.26,0.0,-1.0,0.0
2011-04-07,1004.41,0.0,-1.0,0.0
2011-04-08,1019.14,0.0,-1.0,0.0
2011-04-11,1002.8,1.0,-1.0,1.0
2011-04-12,1000.16,0.0,0.0,1.0
2011-04-13,1020.75,0.0,1.0,0.0
2011-04-14,1016.62,0.0,1.0,0.0
2011-04-15,1010.06,0.0,1.0,0.0
2011-04-18,1003.26,0.0,1.0,0.0
2011-04-19,994.3,0.0,1.0,0.0
2011-04-20,1008.18,0.0,1.0,0.0
2011-04-21,1010.56,0.0,1.0,0.0
2011-04-22,1004.65,0.0,1.0,0.0
2011-04-25,975.17,0.0,1.0,0.0
2011-04-26,958.29,0.0,1.0,0.0
2011-04-27,942.54,0.0,1.0,0.0
2011-04-28,904.15,0.0,1.0,0.0
2011-04-29,912.72,0.0,1.0,0.0
2011-05-03,922.07,0.0,1.0,0.0
2011-05-04,903.98,0.0,1.0,0.0
2011-05-05,914.59,0.0,1.0,0.0
2011-05-06,918.28,0.0,1.0,0.0
2011-05-09,931.77,0.0,1.0,0.0
2011-05-10,931.21,0.0,1.0,0.0
2011-05-11,929.95,0.0,1.0,0.0
2011-05-12,909.26,0.0,1.0,0.0
2011-05-13,909.77,0.0,1.0,0.0
2011-05-16,906.34,0.0,1.0,0.0
2011-05-17,895.15,0.0,1.0,0.0
2011-05-18,890.79,0.0,1.0,0.0
2011-05-19,884.89,0.0,1.0,0.0
2011-05-20,875.43,0.0,1.0,0.0
2011-05-23,840.9,0.0,1.0,0.0
2011-05-24,870.94,0.0,1.0,0.0
2011-05-25,842.35,0.0,1.0,0.0
2011-05-26,830.92,0.0,1.0,0.0
2011-05-27,822.94,0.0,1.0,0.0
2011-05-30,834.32,0.0,1.0,0.0
2011-05-31,846.32,0.0,1.0,0.0
2011-06-01,851.17,0.0,1.0,0.0
2011-06-02,833.74,0.0,1.0,0.0
2011-06-03,847.54,0.0,1.0,0.0
2011-06-07,847.71,0.0,1.0,0.0
2011-06-08,844.98,0.0,1.0,0.0
2011-06-09,828.02,0.0,1.0,0.0
2011-06-10,824.03,0.0,1.0,0.0
2011-06-13,829.36,0.0,1.0,0.0
2011-06-14,838.47,0.0,1.0,0.0
2011-06-15,827.53,0.0,1.0,0.0
2011-06-16,810.71,-1.0,1.0,-1.0
2011-06-17,802.64,0.0,0.0,-1.0
2011-06-20,791.76,0.0,-1.0,0.0
2011-06-21,795.61,0.0,-1.0,0.0
2011-06-22,791.51,0.0,-1.0,0.0
2011-06-23,814.44,0.0,-1.0,0.0
2011-06-24,832.32,0.0,-1.0,0.0
2011-06-27,843.86,0.0,-1.0,0.0
2011-06-28,844.18,0.0,-1.0,0.0
2011-06-29,836.38,0.0,-1.0,0.0
2011-06-30,845.92,0.0,-1.0,0.0
2011-07-01,855.27,0.0,-1.0,0.0
2011-07-04,876.17,0.0,-1.0,0.0
2011-07-05,883.42,0.0,-1.0,0.0
2011-07-06,894.28,0.0,-1.0,0.0
2011-07-07,899.8,0.0,-1.0,0.0
2011-07-08,894.91,0.0,-1.0,0.0
2011-07-11,903.31,0.0,-1.0,0.0
2011-07-12,891.52,0.0,-1.0,0.0
2011-07-13,913.09,0.0,-1.0,0.0
2011-07-14,932.78,0.0,-1.0,0.0
2011-07-15,951.14,0.0,-1.0,0.0
2011-07-18,946.12,0.0,-1.0,0.0
2011-07-19,927.3,0.0,-1.0,0.0
2011-07-20,930.83,0.0,-1.0,0.0
2011-07-21,915.37,0.0,-1.0,0.0
2011-07-22,923.99,0.0,-1.0,0.0
2011-07-25,887.06,0.0,-1.0,0.0
2011-07-26,892.54,0.0,-1.0,0.0
2011-07-27,915.55,0.0,-1.0,0.0
2011-07-28,919.4,0.0,-1.0,0.0
2011-07-29,913.28,0.0,-1.0,0.0
2011-08-01,927.38,1.0,-1.0,1.0
2011-08-02,932.12,0.0,0.0,1.0
2011-08-03,945.51,0.0,1.0,0.0
2011-08-04,937.47,0.0,1.0,0.0
